Pekerjaan,Status Pernikahan,Produk,Sub Produk,Plafond,Jangka Waktu,Hasil Prescreening SLIK,Hasil Prescreening SIPKUR,Hasil Prescreening Dukcapil,Hasil Prescreening DHNBI,Hasil Prescreening,Status Aplikasi,Kolektabilitas,Usia
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,141200000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,44
"Pengajar (Guru,Dosen)",Belum Kawin,Konsumer,Kredit Multi Guna,418000000.0,126,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,49
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,265500000.0,192,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,38
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,305000000.0,109,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,49
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,91000000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,48
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Pemilikan Rumah,177100000.0,161,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,34
Lain-Lain,Kawin,Mikro,Mikro Kredit Usaha Rakyat,125000000.0,60,Medium,Terdaftar KUR di Bank Lain,Sesuai,Tidak,Tidak Lolos,Reject,Lancar,34
"Pengajar (Guru,Dosen)",Belum Kawin,Konsumer,Kredit Multi Guna,50000000.0,30,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,36
Pegawai pemerintahan/lembaga negara,Cerai,Konsumer,Kredit Multi Guna,110000000.0,48,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,44
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,110000000.0,60,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,63
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,165000000.0,120,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,42
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,105000000.0,48,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,38
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,200000000.0,24,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,Lancar,35
Lain-Lain,Kawin,Konsumer,Kredit Pemilikan Rumah,290000000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,46
"Tenaga Medis (Perawat, Bidan, dan sebagainya)",Kawin,Konsumer,Kredit Multi Guna,150000000.0,48,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,54
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,378800000.0,149,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,47
Administrasi umum,Kawin,Konsumer,Kredit Pemilikan Rumah,162300000.0,180,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,27
Teknologi informasi,Kawin,Mikro,Mikro Kredit Usaha Rakyat,150000000.0,36,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,Lancar,60
"Transportasi darat (masinis, sopir,kondektur)",Kawin,Konsumer,Kredit Multi Guna,72400000.0,180,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,36
"Tenaga Medis (Perawat, Bidan, dan sebagainya)",Kawin,Konsumer,Kredit Multi Guna,250000000.0,84,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,33
"Tenaga Medis (Perawat, Bidan, dan sebagainya)",Kawin,Konsumer,Kredit Multi Guna,566200000.0,180,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,38
Engineering,Kawin,Konsumer,Kredit Multi Guna,30000000.0,36,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,39
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,336000000.0,180,Low,TIDAK DILAKUKAN,Tidak Sesuai,Tidak,Lolos,Accept,Lancar,42
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,24500000.0,10,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,49
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,189900000.0,73,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,50
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,15000000.0,36,High,Terdaftar KUR di Bank Lain,Sesuai,Tidak,Tidak Lolos,Reject,Tidak Lancar,42
Administrasi umum,Belum Kawin,Konsumer,Kredit Multi Guna,100000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,30
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,84000000.0,60,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,Lancar,39
"Tenaga Medis (Perawat, Bidan, dan sebagainya)",Kawin,Konsumer,Kredit Multi Guna,650000000.0,180,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,37
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,102000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,45
"Tenaga Medis (Perawat, Bidan, dan sebagainya)",Kawin,Konsumer,Kredit Multi Guna,528700000.0,180,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,32
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,28000000.0,36,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,34
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,264000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,52
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,120000000.0,96,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,47
"Tenaga Medis (Perawat, Bidan, dan sebagainya)",Belum Kawin,Konsumer,Kredit Multi Guna,173000000.0,61,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,32
Wiraswasta,Cerai,Mikro,Mikro Kredit Usaha Rakyat,450000000.0,60,Medium,Terdaftar KUR di Bank Lain,Sesuai,Tidak,Tidak Lolos,Reject,Lancar,54
Ibu rumah tangga,Kawin,Mikro,Mikro Kredit Usaha Rakyat,500000000.0,60,Medium,Terdaftar KUR di Bank Lain,Sesuai,Tidak,Tidak Lolos,Reject,Lancar,46
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,225000000.0,24,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,Lancar,65
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,92000000.0,48,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,56
Wiraswasta,Belum Kawin,Mikro,Mikro Kredit Usaha Rakyat,200000000.0,60,Medium,Terdaftar KUR di Bank Lain,Sesuai,Tidak,Tidak Lolos,Reject,Lancar,27
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,396900000.0,208,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,41
Pejabat negara/penyelenggara negara,Kawin,Konsumer,Kredit Multi Guna,460396788.0,112,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,45
"Tenaga Medis (Perawat, Bidan, dan sebagainya)",Cerai,Konsumer,Kredit Multi Guna,280000000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,44
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,100000000.0,84,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,35
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,260926762.0,107,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,29
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,150000000.0,39,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,57
"Tenaga Medis (Perawat, Bidan, dan sebagainya)",Kawin,Konsumer,Kredit Multi Guna,216580000.0,57,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,53
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,220000000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,46
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,50000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,49
Pensiunan,Kawin,Konsumer,Kredit Multi Guna,19700000.0,85,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,63
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,300000000.0,60,Medium,Terdaftar KUR di Bank Lain,Tidak Sesuai,Tidak,Tidak Lolos,Reject,Lancar,44
"Pengajar (Guru,Dosen)",Belum Kawin,Konsumer,Kredit Multi Guna,100000000.0,48,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,44
Wiraswasta,Belum Kawin,Mikro,Mikro Kredit Usaha Rakyat,25000000.0,24,Low,Tidak Terdaftar KUR,Tidak Sesuai,Tidak,Lolos,Accept,Lancar,22
Pensiunan,Kawin,Konsumer,Kredit Multi Guna,65000000.0,36,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,67
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,294000000.0,156,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,39
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,500000000.0,96,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,40
Wiraswasta,Belum Kawin,Mikro,Mikro Non - Kredit Usaha Rakyat,47000000.0,48,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,Lancar,25
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,309000000.0,121,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,38
"Transportasi darat (masinis, sopir,kondektur)",Kawin,Konsumer,Kredit Multi Guna,245800000.0,156,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,44
Pensiunan,Kawin,Konsumer,Kredit Multi Guna,4900000.0,28,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,68
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,283100000.0,180,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,43
"Transportasi darat (masinis, sopir,kondektur)",Belum Kawin,Konsumer,Kredit Multi Guna,209400000.0,168,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,31
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,167800000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,40
Lain-Lain,Belum Kawin,Konsumer,Kredit Pemilikan Rumah,300000000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,45
Pegawai pemerintahan/lembaga negara,Belum Kawin,Konsumer,Kredit Multi Guna,214000000.0,48,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,31
Pegawai pemerintahan/lembaga negara,Belum Kawin,Konsumer,Kredit Multi Guna,200000000.0,116,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,48
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Pemilikan Rumah,335412000.0,216,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,30
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,350000000.0,180,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,39
Engineering,Kawin,Konsumer,Kredit Pemilikan Rumah,200000000.0,120,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,45
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,110000000.0,36,Medium,Terdaftar KUR di Bank Lain,Tidak Sesuai,Tidak,Tidak Lolos,Reject,Lancar,47
Konsultan/Analis,Kawin,Konsumer,Kredit Multi Guna,15000000.0,36,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,26
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,23065000.0,10,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,34
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,75000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,53
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,31500000.0,69,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,52
Wiraswasta,Belum Kawin,Mikro,Mikro Kredit Usaha Rakyat,300000000.0,60,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,Lancar,21
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,344000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,50
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,52000000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,48
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,75000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,43
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,233500000.0,36,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,57
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,25000000.0,12,High,Terdaftar KUR di Bank Lain,Sesuai,Tidak,Tidak Lolos,Reject,Tidak Lancar,51
"Tenaga Medis (Perawat, Bidan, dan sebagainya)",Kawin,Konsumer,Kredit Multi Guna,305000000.0,84,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,36
Pensiunan,Kawin,Konsumer,Kredit Multi Guna,40000000.0,48,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,69
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,200000000.0,84,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,33
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,24300000.0,10,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,29
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,327500000.0,120,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,35
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,33000000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,44
"Transportasi darat (masinis, sopir,kondektur)",Kawin,Konsumer,Kredit Multi Guna,230400000.0,180,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,31
Administrasi umum,Belum Kawin,Konsumer,Kredit Multi Guna,632000000.0,84,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,34
Pegawai pemerintahan/lembaga negara,Cerai,Konsumer,Kredit Multi Guna,136000000.0,48,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,53
