NO,PEKERJAAN,KETERANGAN_PEKERJAAN,TANGGAL_LAHIR,STATUS_PERNIKAHAN,KETERANGAN_STATUS_PERNIKAHAN,KELURAHAN,KECAMATAN,KOTA,PROVINSI,PRODUK,SUB_PRODUK,KETERANGAN_SUB_PRODUK,TANGGAL_INPUT,PLAFOND,JK_WAKTUBULAN,HASIL_PRESCREENING_SLIK,HASIL_PRESCREENING_SIKPKUR,HASIL_PRESCREENING_DUKCAPIL,HASIL_PRESCREENING_DHNBI,HASIL_PRESCREENING_1,STATUS,KOLEKTABILITAS,KETERANGAN
1,37,Pegawai pemerintahan/lembaga negara,1978-06-06,K,Kawin,GROGOL UTARA,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-10-03,141200000.0,60,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
2,9,"Pengajar (Guru,Dosen)",1975-04-30,B,Belum Kawin,JURANGMANGU BARAT,PONDOK AREN,TANGERANG SELATAN,BANTEN,Konsumer,KMG,Kredit Multi Guna,2024-09-27,418000000.0,126,High,-,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
3,9,"Pengajar (Guru,Dosen)",1986-03-15,K,Kawin,PULAU PANGGANG,KEPULAUAN SERIBU UTARA,KEPULAUAN SERIBU,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-06-03,265500000.0,192,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
4,37,Pegawai pemerintahan/lembaga negara,1971-09-12,K,Kawin,JOGLO,KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2020-07-07,305000000.0,109,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
5,37,Pegawai pemerintahan/lembaga negara,1976-09-23,K,Kawin,KELAPA GADING TIMUR,KELAPA GADING,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-04-24,91000000.0,60,High,-,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
6,37,Pegawai pemerintahan/lembaga negara,1981-08-15,K,Kawin,TIRTAJAYA,SUKMAJAYA,KOTA DEPOK,JAWA BARAT,Konsumer,KPR,Kredit Pemilikan Rumah,2015-02-24,177100000.0,161,Medium,-,Sesuai,Ya,Lolos Bersyarat,Reject,2,Dalam Perhatian Khusus
7,99,Lain-Lain,1989-06-28,K,Kawin,TELUK BETUNG,TELUK BETUNG SELATAN,BANDAR LAMPUNG,LAMPUNG,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2023-09-29,125000000.0,60,Medium,Terdaftar KUR di Bank Lain,Sesuai,Tidak,Tidak Lolos,Reject,2,Dalam Perhatian Khusus
8,9,"Pengajar (Guru,Dosen)",1989-01-14,B,Belum Kawin,KAMAL,KALI DERES,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2025-03-10,50000000.0,30,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
9,37,Pegawai pemerintahan/lembaga negara,1979-08-08,D,Cerai,KEBON KOSONG,KEMAYORAN,JAKARTA PUSAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-01-23,110000000.0,48,Medium,-,Sesuai,Ya,Lolos Bersyarat,Reject,2,Dalam Perhatian Khusus
10,9,"Pengajar (Guru,Dosen)",1960-05-15,K,Kawin,SERUA,BOJONGSARI,DEPOK,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2023-09-14,110000000.0,60,Medium,-,Sesuai,Ya,Lolos Bersyarat,Reject,2,Dalam Perhatian Khusus
11,37,Pegawai pemerintahan/lembaga negara,1983-02-21,K,Kawin,KLENDER,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2025-07-29,165000000.0,120,High,-,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
12,5,Administrasi umum,1986-04-27,K,Kawin,MENTENG ATAS,SETIA BUDI,JAKARTA SELATAN,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-07-04,105000000.0,48,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
13,13,Wiraswasta,1990-06-08,K,Kawin,GROGOL SELATAN,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2024-12-09,200000000.0,24,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,1,Lancar
14,99,Lain-Lain,1978-02-10,K,Kawin,PADURENAN,MUSTIKA JAYA,BEKASI,JAWA BARAT,Konsumer,KPR,Kredit Pemilikan Rumah,2023-12-21,290000000.0,60,High,-,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
15,19,"Tenaga Medis (Perawat, Bidan, dan sebagainya)",1968-07-03,K,Kawin,GEDONG,PASAR REBO,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-06-02,150000000.0,48,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
16,9,"Pengajar (Guru,Dosen)",1976-11-16,K,Kawin,LAGOA,KOJA,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-05-16,378800000.0,149,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
17,5,Administrasi umum,1994-09-14,K,Kawin,KRUKUT,TAMAN SARI,JAKARTA BARAT,DKI JAKARTA,Konsumer,KPR,Kredit Pemilikan Rumah,2021-06-10,162300000.0,180,High,-,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
18,6,Teknologi informasi,1963-12-23,K,Kawin,KALISARI,PASAR REBO,KOTA BEKASI,JAWA BARAT,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2023-10-26,150000000.0,36,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,1,Lancar
19,31,"Transportasi darat (masinis, sopir,kondektur)",1986-12-13,K,Kawin,TANJUNG DUREN SELATAN,GROGOL PETAMBURAN,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-03-14,72400000.0,180,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
20,19,"Tenaga Medis (Perawat, Bidan, dan sebagainya)",1989-11-16,K,Kawin,DUKUH,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-01-26,250000000.0,84,High,-,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
21,19,"Tenaga Medis (Perawat, Bidan, dan sebagainya)",1984-08-08,K,Kawin,LAGOA,KOJA,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-01-27,566200000.0,180,Medium,-,Sesuai,Ya,Lolos Bersyarat,Reject,2,Dalam Perhatian Khusus
22,3,Engineering,1969-08-17,K,Kawin,,,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2008-12-16,30000000.0,36,Medium,-,Sesuai,Ya,Lolos Bersyarat,Reject,2,Dalam Perhatian Khusus
23,37,Pegawai pemerintahan/lembaga negara,1980-12-12,K,Kawin,KARANGSATRIA,TAMBUN UTARA,KAB. BEKASI,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2023-05-24,336000000.0,180,Low,-,Tidak Sesuai,Tidak,Lolos,Accept,1,Lancar
24,99,Lain-Lain,1976-06-01,K,Kawin,SEMPER TIMUR,CILINCING,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2025-02-06,24500000.0,10,Medium,-,Sesuai,Ya,Lolos Bersyarat,Reject,2,Dalam Perhatian Khusus
25,5,Administrasi umum,1973-12-18,K,Kawin,SUDIMARA JAYA,CILEDUG,TANGERANG,BANTEN,Konsumer,KMG,Kredit Multi Guna,2024-03-28,189900000.0,73,Medium,-,Sesuai,Ya,Lolos Bersyarat,Reject,2,Dalam Perhatian Khusus
26,13,Wiraswasta,1981-03-19,K,Kawin,SUNTER JAYA,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2022-10-06,15000000.0,36,High,Terdaftar KUR di Bank Lain,Sesuai,Tidak,Tidak Lolos,Reject,5,Macet
27,5,Administrasi umum,1995-06-21,B,Belum Kawin,KEBAYORAN LAMA SELATAN,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2025-06-04,100000000.0,60,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
28,13,Wiraswasta,1984-12-26,K,Kawin,MARGAHAYU TENGAH,MARGAHAYU,KAB. BANDUNG,JAWA BARAT,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2024-05-30,84000000.0,60,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,1,Lancar
29,19,"Tenaga Medis (Perawat, Bidan, dan sebagainya)",1985-12-27,K,Kawin,PONDOK LABU,CILANDAK,JAKARTA SELATAN,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-04-11,650000000.0,180,High,-,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
30,37,Pegawai pemerintahan/lembaga negara,1979-07-10,K,Kawin,SURADITA,CISAUK,KAB. TANGERANG,BANTEN,Konsumer,KMG,Kredit Multi Guna,2024-03-23,102000000.0,60,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
31,19,"Tenaga Medis (Perawat, Bidan, dan sebagainya)",1990-06-23,K,Kawin,KAPUK,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-01-26,528700000.0,180,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
32,5,Administrasi umum,1991-11-14,K,Kawin,JATIBENING,PONDOK GEDE,KOTA BEKASI,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2025-07-03,28000000.0,36,High,-,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
33,9,"Pengajar (Guru,Dosen)",1970-02-28,K,Kawin,MEKAR JAYA,SUKMA JAYA,DEPOK,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2022-05-31,264000000.0,60,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
34,9,"Pengajar (Guru,Dosen)",1964-02-08,K,Kawin,JATIMULYA,TAMBUN SELATAN,KAB. BEKASI,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2011-05-09,120000000.0,96,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
