PEKERJAAN,STATUS_PERNIKAHAN,PRODUK,SUB_PRODUK,PLAFOND,JK_WAKTUBULAN,HASIL_PRESCREENING_SLIK,HASIL_PRESCREENING_SIKPKUR,HASIL_PRESCREENING_DUKCAPIL,HASIL_PRESCREENING_DHNBI,HASIL_PRESCREENING_1,STATUS,KOLEKTABILITAS
37,2,0,0,141200000.0,60,1,0,0,0,0,0,1
9,0,0,0,418000000.0,126,0,0,0,0,0,3,3
9,2,0,0,265500000.0,192,1,0,0,0,0,0,1
37,2,0,0,305000000.0,109,1,0,0,0,0,0,1
37,2,0,0,91000000.0,60,0,0,0,0,0,3,3
37,2,0,1,177100000.0,161,2,0,0,1,1,2,2
99,2,1,2,125000000.0,60,2,2,0,0,2,2,2
9,0,0,0,50000000.0,30,1,0,0,0,0,0,1
37,1,0,0,110000000.0,48,2,0,0,1,1,2,2
9,2,0,0,110000000.0,60,2,0,0,1,1,2,2
37,2,0,0,165000000.0,120,0,0,0,0,0,3,3
5,2,0,0,105000000.0,48,1,0,0,0,0,0,1
13,2,1,2,200000000.0,24,1,3,0,0,0,0,1
99,2,0,1,290000000.0,60,0,0,0,0,0,3,3
19,2,0,0,150000000.0,48,1,0,0,0,0,0,1
9,2,0,0,378800000.0,149,1,0,0,0,0,0,1
5,2,0,1,162300000.0,180,0,0,0,0,0,3,3
6,2,1,2,150000000.0,36,1,3,0,0,0,0,1
31,2,0,0,72400000.0,180,1,0,0,0,0,0,1
19,2,0,0,250000000.0,84,0,0,0,0,0,3,3
19,2,0,0,566200000.0,180,2,0,0,1,1,2,2
3,2,0,0,30000000.0,36,2,0,0,1,1,2,2
37,2,0,0,336000000.0,180,1,0,1,0,0,0,1
99,2,0,0,24500000.0,10,2,0,0,1,1,2,2
5,2,0,0,189900000.0,73,2,0,0,1,1,2,2
13,2,1,2,15000000.0,36,0,2,0,0,2,2,5
5,0,0,0,100000000.0,60,1,0,0,0,0,0,1
13,2,1,2,84000000.0,60,1,3,0,0,0,0,1
19,2,0,0,650000000.0,180,0,0,0,0,0,3,3
37,2,0,0,102000000.0,60,1,0,0,0,0,0,1
19,2,0,0,528700000.0,180,1,0,0,0,0,0,1
5,2,0,0,28000000.0,36,0,0,0,0,0,3,3
9,2,0,0,264000000.0,60,1,0,0,0,0,0,1
9,2,0,0,120000000.0,96,1,0,0,0,0,0,1
19,0,0,0,173000000.0,61,0,0,0,0,0,3,3
13,1,1,2,450000000.0,60,2,2,0,0,2,2,2
34,2,1,2,500000000.0,60,2,2,0,0,2,2,2
13,2,1,2,225000000.0,24,1,3,0,0,0,0,1
9,2,0,0,92000000.0,48,2,0,0,1,1,2,2
13,0,1,2,200000000.0,60,2,2,0,0,2,2,2
37,2,0,0,396900000.0,208,0,0,0,0,0,3,3
36,2,0,0,460396788.0,112,1,0,0,0,0,0,1
19,1,0,0,280000000.0,120,1,0,0,0,0,0,1
37,2,0,0,100000000.0,84,0,0,0,0,0,3,3
37,2,0,0,260926762.0,107,1,0,0,0,0,0,1
9,2,0,0,150000000.0,39,1,0,0,0,0,0,1
19,2,0,0,216580000.0,57,0,0,0,0,0,3,3
37,2,0,0,220000000.0,120,1,0,0,0,0,0,1
9,2,0,0,50000000.0,60,1,0,0,0,0,0,1
11,2,0,0,19700000.0,85,0,0,0,0,0,3,3
13,2,1,2,300000000.0,60,2,2,1,0,2,2,2
9,0,0,0,100000000.0,48,2,0,0,1,1,2,2
13,0,1,2,25000000.0,24,1,3,1,0,0,0,1
11,2,0,0,65000000.0,36,2,0,0,1,1,2,2
37,2,0,0,294000000.0,156,2,0,0,1,1,2,2
37,2,0,0,500000000.0,96,0,0,0,0,0,3,3
13,0,1,3,47000000.0,48,1,3,0,0,0,0,1
37,2,0,0,309000000.0,121,1,0,0,0,0,0,1
31,2,0,0,245800000.0,156,0,0,0,0,0,3,3
11,2,0,0,4900000.0,28,1,0,0,0,0,0,1
37,2,0,0,283100000.0,180,1,0,0,0,0,0,1
31,0,0,0,209400000.0,168,0,0,0,0,0,3,3
9,2,0,0,167800000.0,60,1,0,0,0,0,0,1
99,0,0,1,300000000.0,120,1,0,0,0,0,0,1
37,0,0,0,214000000.0,48,0,0,0,0,0,3,3
37,0,0,0,200000000.0,116,2,0,0,1,1,2,2
37,2,0,1,335412000.0,216,2,0,0,1,1,2,2
37,2,0,0,350000000.0,180,1,0,0,0,0,0,1
3,2,0,1,200000000.0,120,2,0,0,1,1,2,2
13,2,1,2,110000000.0,36,2,2,1,0,2,2,2
7,2,0,0,15000000.0,36,0,0,0,0,0,3,3
99,2,0,0,23065000.0,10,1,0,0,0,0,0,1
99,2,0,0,75000000.0,60,1,0,0,0,0,0,1
37,2,0,0,31500000.0,69,0,0,0,0,0,3,3
13,0,1,2,300000000.0,60,1,3,0,0,0,0,1
37,2,0,0,344000000.0,60,1,0,0,0,0,0,1
9,2,0,0,52000000.0,60,0,0,0,0,0,3,3
9,2,0,0,75000000.0,60,1,0,0,0,0,0,1
5,2,0,0,233500000.0,36,1,0,0,0,0,0,1
13,2,1,2,25000000.0,12,0,2,0,0,2,2,5
19,2,0,0,305000000.0,84,2,0,0,1,1,2,2
11,2,0,0,40000000.0,48,2,0,0,1,1,2,2
5,2,0,0,200000000.0,84,1,0,0,0,0,0,1
99,2,0,0,24300000.0,10,2,0,0,1,1,2,2
5,2,0,0,327500000.0,120,2,0,0,1,1,2,2
99,2,0,0,33000000.0,60,0,0,0,0,0,3,3
31,2,0,0,230400000.0,180,1,0,0,0,0,0,1
5,0,0,0,632000000.0,84,1,0,0,0,0,0,1
37,1,0,0,136000000.0,48,0,0,0,0,0,3,3
9,2,0,0,83000000.0,60,1,0,0,0,0,0,1
12,0,0,0,25000000.0,11,1,0,0,0,0,0,1
37,0,0,0,179394147.0,99,0,0,0,0,0,3,3
37,0,0,0,24800000.0,10,1,0,0,0,0,0,1
31,2,0,0,190000000.0,180,1,0,0,0,0,0,1
9,2,0,0,200000000.0,120,0,0,0,0,0,3,3
99,0,0,0,24000000.0,10,2,0,0,1,1,2,2
36,0,0,0,1339700000.0,228,2,0,0,1,1,2,2
